"Date","Price","Open","High","Low","Vol.","Change %"
"03/07/2023","151.60","153.70","154.03","151.13","56.18M","-1.45%"
"03/06/2023","153.83","153.79","156.30","153.46","87.56M","1.85%"
"03/03/2023","151.03","148.04","151.11","147.33","70.50M","3.51%"
"03/02/2023","145.91","144.38","146.71","143.90","52.09M","0.41%"
"03/01/2023","145.31","146.83","147.23","145.01","55.22M","-1.42%"
"02/28/2023","147.41","147.05","149.08","146.83","50.55M","-0.34%"
"02/27/2023","147.92","147.71","149.17","147.45","45.00M","0.82%"
"02/24/2023","146.71","147.11","147.19","145.72","55.47M","-1.80%"
"02/23/2023","149.40","150.09","150.34","147.24","48.39M","0.33%"
"02/22/2023","148.91","148.87","149.95","147.16","51.01M","0.29%"
"02/21/2023","148.48","150.20","151.30","148.40","58.87M","-2.67%"
"02/17/2023","152.55","152.35","153.00","150.85","59.14M","-0.75%"
"02/16/2023","153.71","153.51","156.33","153.35","66.84M","-1.04%"
"02/15/2023","155.33","153.11","155.50","152.88","65.47M","1.39%"
"02/14/2023","153.20","152.12","153.77","150.86","61.71M","-0.42%"
"02/13/2023","153.85","150.95","154.26","150.92","61.86M","1.88%"
"02/10/2023","151.01","149.46","151.34","149.22","57.45M","0.09%"
"02/09/2023","150.87","153.77","154.33","150.42","54.90M","-0.69%"
"02/08/2023","151.92","153.88","154.58","151.17","63.47M","-1.77%"
"02/07/2023","154.65","150.64","155.23","150.64","83.03M","1.92%"
"02/06/2023","151.73","152.57","153.10","150.78","68.02M","-1.79%"
"02/03/2023","154.50","148.03","157.38","147.83","154.36M","2.44%"
"02/02/2023","150.82","148.90","151.18","148.17","104.48M","3.71%"
"02/01/2023","145.43","143.97","146.61","141.32","76.77M","0.79%"
"01/31/2023","144.29","142.70","144.34","142.28","65.87M","0.90%"
"01/30/2023","143.00","144.96","145.55","142.85","62.98M","-2.01%"
"01/27/2023","145.93","143.15","147.23","143.08","70.56M","1.37%"
"01/26/2023","143.96","143.17","144.25","141.90","53.65M","1.48%"
"01/25/2023","141.86","140.89","142.43","138.81","64.69M","-0.47%"
"01/24/2023","142.53","140.30","143.16","140.30","63.71M","1.01%"
"01/23/2023","141.11","138.12","143.32","137.90","81.57M","2.35%"
"01/20/2023","137.87","135.28","138.02","134.22","80.22M","1.92%"
"01/19/2023","135.27","134.08","136.25","133.77","58.07M","0.04%"
"01/18/2023","135.21","136.82","138.61","135.03","69.67M","-0.54%"
"01/17/2023","135.94","134.83","137.29","134.13","63.42M","0.88%"
"01/13/2023","134.76","132.03","134.92","131.66","57.81M","1.01%"
"01/12/2023","133.41","133.88","134.26","131.44","71.25M","-0.06%"
"01/11/2023","133.49","131.25","133.51","130.46","69.12M","2.11%"
"01/10/2023","130.73","130.26","131.26","128.12","63.43M","0.45%"
"01/09/2023","130.15","130.46","133.41","129.89","70.50M","0.41%"
"01/06/2023","129.62","126.01","130.29","124.89","87.76M","3.68%"
"01/05/2023","125.02","127.13","127.77","124.76","79.97M","-1.06%"
"01/04/2023","126.36","126.89","128.66","125.08","88.46M","1.03%"
"01/03/2023","125.07","130.28","130.90","124.17","111.68M","-3.74%"
