"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2023","135.09","134.49","135.79","132.80","5.43M","0.27%"
"01/31/2023","134.73","135.50","135.65","133.76","7.21M","-0.42%"
"01/30/2023","135.30","134.32","136.11","133.98","5.38M","0.68%"
"01/27/2023","134.39","134.44","135.49","133.77","8.14M","-0.04%"
"01/26/2023","134.45","137.53","138.27","132.98","17.55M","-4.48%"
"01/25/2023","140.76","140.47","141.03","139.36","7.35M","-0.52%"
"01/24/2023","141.49","141.25","142.75","140.00","4.41M","-0.26%"
"01/23/2023","141.86","141.40","142.99","141.06","5.90M","0.47%"
"01/20/2023","141.20","141.67","141.86","140.51","7.15M","0.41%"
"01/19/2023","140.62","140.00","142.23","139.75","4.83M","0.15%"
"01/18/2023","140.41","144.40","144.68","140.23","6.45M","-3.29%"
"01/17/2023","145.19","146.42","147.18","145.01","2.99M","-0.48%"
"01/13/2023","145.89","144.06","146.10","144.01","2.46M","0.23%"
"01/12/2023","145.55","144.88","146.66","144.52","2.72M","0.20%"
"01/11/2023","145.26","145.00","145.53","143.45","3.27M","0.32%"
"01/10/2023","144.80","143.61","144.85","142.90","2.15M","0.87%"
"01/09/2023","143.55","144.08","145.47","143.40","3.99M","-0.10%"
"01/06/2023","143.70","142.38","144.25","141.58","3.57M","1.84%"
"01/05/2023","141.11","142.44","142.50","140.01","2.87M","-1.04%"
"01/04/2023","142.60","142.07","143.62","141.37","3.87M","0.74%"
"01/03/2023","141.55","141.10","141.90","140.48","3.34M","0.47%"
